book,horizon_days,entries,entries_per_year,entry_days_per_year,mean_concurrent_positions,mean_position_notional,mean_cash_weight,turnover_annual,gross_return_annual,gross_sharpe,net_return_annual,net_volatility,net_sharpe,max_drawdown,benchmark_return_annual,benchmark_volatility,benchmark_sharpe,excess_over_benchmark_annual,cost_drag_annual,invested_return_annual,invested_volatility,invested_sharpe,invested_excess_annual,mean_position_gross_return,benchmark_return_over_horizon,gross_alpha_per_bet,cost_per_roundtrip_bps,median_spread_bps,median_dollar_volume,delisted_positions,truncated_positions,open_at_end,months,start,end
top_decile,20,8497,480.9622641509434,120.22641509433961,37.45695364238411,4595.903984236995,0.8135797303001597,2.400712986875785,0.041345684962942775,0.8865756316708404,-0.011435940322378602,0.04312420716066269,-0.26518610022841904,0.22286603374045777,0.06517124198862789,0.20360492727608828,0.32008676243996637,-0.0766071823110065,0.052781625285321376,-0.1727153470674625,0.21568788297399846,-0.8007651829392921,-0.2378865890560904,0.017466199197415565,0.005023334918956568,0.012442864278458997,215.46223077434126,125.8721125733683,1989120.0,19,27,0,212,1998-04-09,2015-12-30
top_decile,40,8426,476.9433962264151,119.54716981132074,73.81479028697572,6583.12754404417,0.6381747982612774,2.389479101697417,0.08023529140023045,1.074896193780278,0.024584939015033225,0.07184701893499972,0.34218453847438424,0.28416627859663235,0.05423510889842342,0.20775105119903206,0.26105816834815665,-0.0296501698833902,0.05565035238519722,-0.04455493805804367,0.19213244709186872,-0.23189699986873946,-0.09879004695646709,0.03405255446575765,0.008418650102444358,0.025633904363313295,219.13873236215963,125.88228291861587,1975712.0,41,55,0,212,1998-04-09,2015-12-31
top_decile,60,8384,474.566037735849,118.98113207547169,107.31810154525387,6539.779653445799,0.4964420133852936,2.2223894008899854,0.08063712307458215,0.8368507301508964,0.028575952210267097,0.09549055647473788,0.2992542222520914,0.3502061862059417,0.06517124198862789,0.20360492727608828,0.32008676243996637,-0.036595289778360796,0.052061170864315054,-0.006341759592085272,0.18372080724008555,-0.0345184613945109,-0.07151300158071316,0.03318911414068552,0.015145833196293035,0.018043280944392483,219.85021927559077,126.04527695597349,1941138.0,69,93,0,212,1998-04-09,2015-12-24
bottom_decile_DIAGNOSTIC,20,8601,486.84905660377353,118.81132075471697,37.88830022075055,3203.740810862456,0.8120679647583094,2.349610476881259,0.007477926371735721,0.12061284397859007,-0.051092732613931435,0.05993565089636067,-0.8524597939593548,0.6096599160528222,0.05423510889842342,0.20775105119903206,0.26105816834815665,-0.10532784151235486,0.05857065898566716,-0.30798904943667116,0.2452212532190991,-1.2559639321371978,-0.3622241583350946,0.004051146351046851,0.00420050293875307,-0.00014935658770621942,256.43079853007373,151.29630211720666,1228981.0,43,48,0,212,1998-04-16,2015-12-31
bottom_decile_DIAGNOSTIC,40,8499,481.0754716981132,118.0754716981132,74.45849889624724,3609.880787143912,0.6362396937300058,2.3224978855059324,0.016612811485759105,0.15940486884408528,-0.040997605216747446,0.10052101972377296,-0.40785106766134027,0.6181221405451998,0.05423510889842342,0.20775105119903206,0.26105816834815665,-0.09523271411517087,0.05761041670250655,-0.1839463961934722,0.22848429617785881,-0.8050723803367342,-0.23818150509189562,0.009370809673864488,0.008418650102444358,0.0009521595714201293,253.57201108900463,151.24893575794042,1212816.0,81,101,0,212,1998-04-16,2015-12-31
bottom_decile_DIAGNOSTIC,60,8451,478.3584905660377,117.39622641509433,108.4664459161148,3706.393102941412,0.49520890100903414,2.169006234512769,0.017665731512410687,0.1348583423895822,-0.03572470170752107,0.13003836393857746,-0.27472432461850516,0.604152891153126,0.06517124198862789,0.20360492727608828,0.32008676243996637,-0.10089594369614896,0.053390433219931754,-0.11762677139806343,0.2201017134515745,-0.5344200622224733,-0.18279801338669133,0.0073023916646816,0.015145833196293035,-0.007843441531611435,253.93311008610394,151.5216606937882,1195934.74,115,142,0,212,1998-04-16,2015-12-16
