date,gross,net_2bps,net_10bps,bench_gross,bench_net_10bps
1974-02-28,-0.14356201239023478,-0.14456201239023478,-0.14856201239023478,-0.005525611707345446,-0.006025611707345446
1974-03-31,-0.3049410827164234,-0.304958765229801,-0.3050294952833112,-0.023515240936324972,-0.023515240936324972
1974-04-30,-0.16013920993625474,-0.1601797143962037,-0.16034173223599957,-0.019129047576502224,-0.019129047576502224
1974-05-31,0.09680231103258102,0.09676386402808108,0.0966100760100813,-0.00917069429106767,-0.00917069429106767
1974-06-30,-0.03315827476848297,-0.033175436472540086,-0.033244083288768544,-0.01913399971648592,-0.01913399971648592
1974-07-31,-0.015491550687521942,-0.015507451685994437,-0.015571055679884416,-0.0331313360441447,-0.0331313360441447
1974-08-31,0.08041868107352784,0.08041303808984684,0.08039046615512287,-0.048428518526223686,-0.048428518526223686
1974-09-30,0.10340506859655095,0.10332423319460193,0.10300089158680588,-0.038047697425289455,-0.038047697425289455
1974-10-31,-0.0128700741467149,-0.012917800064821858,-0.01310870373724969,0.04132530613781895,0.04132530613781895
1974-11-30,0.017324805018289383,0.017311195728167163,0.017256758567678294,0.002263272811527753,0.002263272811527753
1974-12-31,-0.032014523122072175,-0.03202335614219981,-0.03205868822271034,-0.01517194188277515,-0.01517194188277515
1975-01-31,-0.0834851224902921,-0.08349751563812116,-0.08354708822943743,0.04942529011725274,0.04942529011725274
1975-02-28,-0.028775621010013807,-0.0292976259866995,-0.031385645893442275,0.02905834254108284,0.02905834254108284
1975-03-31,-0.0173921818855046,-0.017413502230496983,-0.01749878361046651,0.012921905947589001,0.012921905947589001
1975-04-30,-0.05553576334220741,-0.05555975989863229,-0.05565574612433181,0.008260449224904653,0.008260449224904653
1975-05-31,0.0521081526892462,0.052095066021438936,0.0520427193502099,0.020058546298645716,0.020058546298645716
1975-06-30,0.017712216202865113,0.01770048228692326,0.017653546623155852,0.022186251327408014,0.022186251327408014
1975-07-31,0.09398134003808563,0.09397112133894515,0.09393024654238326,-0.02053808877339819,-0.02053808877339819
1975-08-31,0.005031553190190855,0.0049960566961899065,0.004854070720186115,-0.02190619169161806,-0.02190619169161806
1975-09-30,0.01651380218364889,0.01650049445319195,0.0164472635313642,-0.022962657224864083,-0.022962657224864083
1975-10-31,0.05590459652070289,0.055893565416301576,0.05584944099869631,0.04429485957605278,0.04429485957605278
1975-11-30,0.01196229114838493,0.011943103465630387,0.011866352734612213,0.0066391225329539925,0.0066391225329539925
1975-12-31,0.06357971426373978,0.06356814824601689,0.06352188417512536,0.003828097517111236,0.003828097517111236
1976-01-31,0.018545222359083492,0.018537134856589883,0.018504784846615437,0.053325745851491003,0.053325745851491003
1976-02-29,-0.0005624512173025157,-0.0005727413243032094,-0.0006139017523059842,0.003663497119605397,0.003663497119605397
1976-03-31,0.05843275848936689,0.05839580618725098,0.05824799697878736,0.009782254834627541,0.009782254834627541
1976-04-30,0.030695372188182742,0.03069460370366945,0.030691529765616288,0.0016276548013428223,0.0016276548013428223
1976-05-31,-0.024854121053966307,-0.024862116171219074,-0.02489409664023014,-0.010129303314595012,-0.010129303314595012
1976-06-30,0.013043236149180876,0.01303092560802753,0.012981683443414148,0.020157461623454755,0.020157461623454755
1976-07-31,0.013174971634012283,0.013157877499339226,0.013089500960647005,-0.00556040155407946,-0.00556040155407946
1976-08-31,0.03573962991434826,0.03571379711735369,0.035610465929375404,0.004124883142337628,0.004124883142337628
1976-09-30,0.005283374518489578,0.0052747962351494555,0.005240483101788963,0.011523440292993589,0.011523440292993589
1976-10-31,0.051116959683901286,0.05110725371303605,0.05106842982957513,-0.007110244792505234,-0.007110244792505234
1976-11-30,0.11207792717908897,0.11207446917011533,0.1120606371342208,0.006197720529591573,0.006197720529591573
1976-12-31,-0.0389024955061575,-0.038953494497709226,-0.03915749046391612,0.03884708981888753,0.03884708981888753
1977-01-31,-0.06073652996400844,-0.0607398175426395,-0.06075296785716374,-0.02294829914062574,-0.02294829914062574
1977-02-28,-0.019462830577947964,-0.01949237928859531,-0.019610574131184697,-0.004161946663367333,-0.004161946663367333
1977-03-31,0.003111685109293172,0.0030921311870085685,0.0030139154978701533,-0.003174743231708743,-0.003174743231708743
1977-04-30,-0.015374659665824325,-0.015505009522279298,-0.01602640894809919,0.004609399322038595,0.004609399322038595
1977-05-31,0.018868362642374868,0.018806893378461434,0.0185610163228077,-0.0053727694274918,-0.0053727694274918
1977-06-30,0.008758659237105847,0.008745637861895614,0.008693552361054681,0.017589242472077903,0.017589242472077903
1977-07-31,-0.08987997346166302,-0.08988677543329104,-0.08991398331980317,-0.01182591424823583,-0.01182591424823583
1977-08-31,0.054268615730921343,0.05423410339406056,0.054096054046617444,0.013091647322278837,0.013091647322278837
1977-09-30,-0.04155857021499838,-0.04156843819721468,-0.04160791012607987,-0.0015588568969902572,-0.0015588568969902572
