date,net_10bps,gross,bench_net_10bps,scaler
1965-01-31,0.012015763906530065,0.017015763906530066,0.011355891865776438,2.39528578087352
1965-02-28,-0.030640034082981875,-0.021648827996825527,-0.0019930543477342613,1.7933267877973351
1965-03-31,-0.028365987403598053,-0.01905627150750564,-0.003935388842517244,2.156397562994384
1965-04-30,0.01260957663332152,0.021919292529413933,0.010904294464512576,0.907900675854965
1965-05-31,-0.012099171286919709,-0.002827659799347841,-0.0028954077075375637,2.1175781377430014
1965-06-30,-0.07581830305150633,-0.07041290743662254,-0.015104634990595037,1.9915487742291156
1965-07-31,-0.035855274478360635,-0.025855274478360633,0.0034530110172441564,0.5916995881826326
1965-08-31,0.011855470677550184,0.021855470677550184,0.005711000537952704,0.40165846440165326
1965-09-30,0.05216357637532103,0.05337600784619781,0.007001343241636149,0.40635955724561246
1965-10-31,0.04644771883948293,0.04688352243455279,0.006561055155756595,0.40887844272201124
1965-11-30,0.03349626695771916,0.03351103244505466,-0.005699940332710188,0.4140382619011647
1965-12-31,0.1594886172623721,0.1597191683771459,-0.007444666176192549,0.49779742408184974
1966-01-31,0.032984137589576364,0.03421572623348945,-0.0009064278938507955,0.5197759249319164
1966-02-28,0.10304957245579673,0.10324157503572709,-0.015201556876726419,0.5109431954395314
1966-03-31,-0.10528035512789365,-0.10418822734542377,0.003825148942902829,0.4448635365935707
1966-04-30,-0.003523888941317903,-0.0003260954562918812,0.004585094416962865,0.4580137768661425
1966-05-31,0.011334332003392898,0.012829957796764376,-0.020494789373361536,0.47265816042884923
1966-06-30,0.028126722083287578,0.028884161933585784,-0.011010805977578603,0.48701091000178615
1966-07-31,0.040475290841512815,0.0420103007852153,-0.00897625361286299,0.4996597436464866
1966-08-31,0.15870143886583132,0.15889200415986243,-0.0397534101393207,0.4529516815349629
1966-09-30,-0.0789052531209813,-0.0782238513294034,0.011388335310130095,0.42933704474575557
1966-10-31,-0.032090711519258575,-0.03081800764113361,0.018658321689697978,0.43131643200640907
1966-11-30,-0.0017426508441195374,-0.0007413583896738181,-0.003880859154206772,0.4401784763311235
1966-12-31,-0.04989963468613234,-0.048892053147108906,0.019271609519796045,0.4369307994002801
1967-01-31,-0.00125816376133037,0.0012172212545027705,0.03100320730690065,0.4456779236966734
1967-02-28,-0.0262030915503332,-0.02595400187132765,-0.006258794172362081,0.45008798781662407
1967-03-31,0.03300271009829137,0.03374395619273286,0.02444900474033503,0.4580446080969657
1967-04-30,-0.027294366265391726,-0.02650223423090261,0.0025958383223859327,0.4622135869599532
1967-05-31,-0.024952249011224677,-0.023531726832268503,-0.017646570141410835,0.46711932059954997
1967-06-30,-0.043058432964071046,-0.042065953319422235,-0.013032814777746574,0.468054772899519
1967-07-31,-0.004542355310444532,-0.002297664444282593,0.0205056066747716,0.47561413847878947
1967-08-31,-0.0021918762783857872,-0.0011787249080205888,-0.00943488670603328,0.48312511275734404
1967-09-30,0.008820331785894768,0.009312133157604954,0.009709757042670445,0.49085011802047057
1967-10-31,0.008514479302334609,0.009270368831208065,-0.02449351398233949,0.4984540092248836
1967-11-30,0.006466452161725999,0.007578847931111262,-0.0002954177942150098,0.505922269961124
1967-12-31,0.007908074759195359,0.00826139676476514,0.009904496394600374,0.5132898265386235
1968-01-31,-0.02894226213296473,-0.028112904098828786,7.604943121042345e-05,0.5100347255786855
1968-02-29,0.0014602217595137924,0.0023400292881492826,-0.0010898125558997385,0.5103829053556758
1968-03-31,0.012125296607458804,0.012925553771094415,-0.0012301066421095685,0.5109393504088511
1968-04-30,0.016194923019851842,0.016557986756123643,0.035800022773057605,0.5109503294513374
1968-05-31,0.010691643088908897,0.011608064265734162,0.0018565084586490699,0.5113224066536359
1968-06-30,-0.017335359289908668,-0.017006399038681362,0.020173148628005733,0.5113218921560002
1968-07-31,0.015044871479135196,0.01664894168516972,0.014354944812157017,0.512032448930317
1968-08-31,0.022050492256818262,0.022533156855607594,0.017154989140268306,0.5118993606724481
1968-09-30,0.04676262943085127,0.04713366258479158,0.028233656943938396,0.5161200100588227
1968-10-31,-0.016589347090071697,-0.01658028868113975,-0.012586823341437542,0.5197386729412569
1968-11-30,0.01725093488279894,0.017721808699302406,0.003073400945166449,0.522041482728917
1968-12-31,-0.006338789676723804,-0.006086454061063612,-0.02649536044944653,0.6353064288348824
1969-01-31,-0.0024451568849528345,-0.0010574752261940513,0.01688669382897251,0.6396689441791248
1969-02-28,-0.007775514684124903,-0.006977163515176218,-0.024471832622592365,0.6879334457659501
1969-03-31,-0.0011375044433943374,-0.00032791047662063515,0.020463386483213886,0.7557431550328615
1969-04-30,0.008170341585911955,0.008969965438901835,0.01572372422685403,0.7557006227884384
1969-05-31,0.06888322365143985,0.07006871321430269,0.0008328950117741651,0.742952493310523
1969-06-30,0.0310719793316099,0.0317321607303002,-0.024660591513099073,0.7459152656173683
1969-07-31,0.016530554525074972,0.016966217546087146,-0.025225017800799165,0.7573028755961997
1969-08-31,-0.0009317452676309418,-0.0004277015014292323,0.011068036542836002,1.068137445043048
1969-09-30,0.23381373011345863,0.23520273218299775,-0.013105283186018835,0.9853362099972627
1969-10-31,-0.13906370924777603,-0.13835485851489973,0.04232113085691669,0.9279785670657309
1969-11-30,0.05392572658387218,0.05555080681065434,-0.008070410775283893,0.9181382638844792
1969-12-31,0.16349185953333364,0.16471884586177,-0.005718954090952494,0.8752643995763257
1970-01-31,0.030326088332289256,0.030415555545916066,-0.02301681510900569,0.8745243310063177
1970-02-28,-0.15032805009099898,-0.14980668336326713,0.048237429377283036,0.8015736473539379
1970-03-31,0.02642947944983108,0.028112386635286486,0.011053086062516454,0.8093543577815615
1970-04-30,-0.08286068896216159,-0.08244073330201687,-0.08164604972245676,0.7919041398246618
1970-05-31,0.03742663231176836,0.03916341436179241,-0.02638702063469181,0.7970067463328505
1970-06-30,-0.007232180611507729,-0.007115734006786195,0.006958647768740223,0.8201998080499043
1970-07-31,-0.043199154373357244,-0.042160768430605004,0.02834406176020371,0.8110624221027368
1970-08-31,-0.014757638492298874,-0.01381649032389824,0.007754832738081835,0.8095348658241458
1970-09-30,-0.009108016420930419,-0.007912661517581767,0.007406184320851217,0.808493446909583
1970-10-31,0.0026679986662278355,0.004124280477664873,0.0039609566941828656,0.808489667807643
1970-11-30,0.060765705303084006,0.061269508699442754,0.02451009982287941,0.7996395470427886
1970-12-31,0.01668005330258541,0.017747288456871714,0.014142294528718097,0.7994947566355333
1971-01-31,0.03729457946562099,0.03742242038752484,0.034801429628207536,0.8081312162515558
1971-02-28,0.015925172202708858,0.016060166759556925,0.022314947775190275,0.8084433699941419
1971-03-31,0.08014069539245113,0.08062466891888459,0.044208638811132794,0.7938405060731756
1971-04-30,-0.0669429286830507,-0.06671175393437796,-0.004460010285388755,0.7731027543346168
1971-05-31,-0.03329213409725102,-0.03226497710172017,-0.018026753214490265,0.7669484314333078
1971-06-30,0.028004255033258336,0.028760188539650088,0.004543333136726557,0.7704912902446748
1971-07-31,0.009543117977855991,0.009988073486070418,-0.00889272019392659,0.7710352415937026
1971-08-31,-0.11118768000742124,-0.11105518799629362,-0.0044810584726688585,0.7284341762602284
1971-09-30,0.013893547274358644,0.015506562935812361,0.0183990262624964,0.7398290813164184
1971-10-31,0.00898882856842117,0.00951700662827417,-0.01990995034542864,0.7427323099130188
1971-11-30,-0.017830002729092315,-0.017177751049758036,0.016212629179604365,0.7420904386269751
1971-12-31,0.030109223913620718,0.030854317018170794,0.05440780726301708,0.7409124782517166
1972-01-31,0.007068814688668414,0.00791167322506197,0.012219491054604681,0.7411290712869616
1972-02-29,0.03524464245678303,0.03590595554209668,0.023510449024011226,0.7394292064023841
1972-03-31,0.00307635010584552,0.0035440891280373293,0.01007859849796372,0.7395986078245592
