book,horizon_days,entries,entries_per_year,entry_days_per_year,mean_concurrent_positions,months,years,start,end,gross_return_annual,gross_volatility,gross_sharpe,benchmark_return_annual,benchmark_volatility,benchmark_sharpe,mean_position_gross_return,benchmark_return_over_horizon,gross_alpha_bps_per_bet,median_spread_conservative_bps,median_spread_realistic_bps,median_dollar_volume,share_entries_upper_bound,share_entries_measured,delisted_positions,truncated_positions,open_at_end,mean_position_notional,median_position_notional,conservative_net_return_annual,conservative_net_volatility,conservative_net_sharpe,conservative_max_drawdown,conservative_excess_over_benchmark_annual,conservative_cost_drag_annual,conservative_turnover_annual,conservative_cost_per_roundtrip_bps,conservative_cover_ratio,conservative_net_alpha_bps_per_bet,conservative_bets_per_unit_turnover,conservative_mean_cash_weight,conservative_total_cost,conservative_cost_share_spread,conservative_cost_share_impact,conservative_cost_share_commission,conservative_orders,conservative_orders_at_035_minimum,conservative_share_orders_at_035_minimum,realistic_net_return_annual,realistic_net_volatility,realistic_net_sharpe,realistic_max_drawdown,realistic_excess_over_benchmark_annual,realistic_cost_drag_annual,realistic_turnover_annual,realistic_cost_per_roundtrip_bps,realistic_cover_ratio,realistic_net_alpha_bps_per_bet,realistic_bets_per_unit_turnover,realistic_mean_cash_weight,realistic_total_cost,realistic_cost_share_spread,realistic_cost_share_impact,realistic_cost_share_commission,realistic_orders,realistic_orders_at_035_minimum,realistic_share_orders_at_035_minimum,registered_verdict,bounds_sharpe_inverted
top_decile,20,21728,1229.8867924528302,173.71698113207546,93.41876379690949,212,17.666666666666668,1998-04-02,2015-12-31,0.062968500565181,0.09033063437467735,0.697089099407821,0.03400606471525558,0.2279697200714522,0.1491692173179715,0.014350984149988885,0.002657544182539384,116.93439967449501,75.03821854338622,55.14882370645834,6967500.0,0.6089377761413843,0.3910622238586156,40,57,0,8091.984707405513,8514.948799413456,-0.007381453537541938,0.08729307496468977,-0.08455944003035465,0.3568632053122551,-0.04138751825279752,0.07034995410272293,4.9587737280455375,136.96651179388493,0.8537444528810415,-20.03211211938992,248.02236599280778,0.6149333905939932,1144678.338845511,0.7419660435808947,0.22470929793849445,0.03332465848061216,42266,14689,0.3475370273979085,0.0005855085127963733,0.08734164475334226,0.0067036579680847825,0.33753173980225026,-0.033420556202459206,0.06238299205238462,4.9856893414349805,119.98056706834608,0.9746111602213395,-3.0461673938510643,246.68339886954215,0.6148652889545517,1076474.137006735,0.6996260315166037,0.2627878756342511,0.03758609284914485,42554,13555,0.3185364478074917,DEAD,False
top_decile,40,21593,1222.245283018868,172.86792452830187,172.67152317880794,212,17.666666666666668,1998-04-02,2015-12-31,0.1063228956395017,0.1255880625476699,0.8466003335240906,0.03400606471525558,0.2279697200714522,0.1491692173179715,0.028243857469557366,0.0053221509061609495,229.21706563396415,74.8942092212092,55.007469097870874,6949250.0,0.6097809475292919,0.3902190524707081,87,119,0,10864.002429750199,8813.90472974315,0.04541723850846524,0.12408380351822203,0.36602068296363593,0.46355357034169076,0.011411173793209661,0.06090565713103646,4.147616926557281,132.38130032684228,1.7314912685404933,96.83576530712187,294.68615464287575,0.3730700819647343,1459515.4966542402,0.7134692385550616,0.25518357829200145,0.03134718315293829,39056,10980,0.2811347808275297,0.05250012479973032,0.12419090848117871,0.4227372634743773,0.45659831178810095,0.01849406008447474,0.05382277083977138,4.157912476589458,115.20843045435538,1.9895858725788131,114.00863517960877,293.95647212406425,0.37301450220114446,1361806.9248077215,0.662037720097617,0.30224240543646874,0.035719874465916394,39613,10581,0.2671092823063136,MARGINAL,False
top_decile,60,21497,1216.811320754717,172.24528301886792,256.3490066225166,212,17.666666666666668,1998-04-02,2015-12-24,0.10108351140477323,0.15354293342275807,0.6583403687257591,0.03621731602678846,0.22587713449567198,0.160340780432038,0.027801282068697523,0.008506665009663683,192.9461705903384,74.84366510517106,54.982477329276115,6892380.0,0.6099920919198027,0.39000790808019725,144,197,0,8165.596784880335,5707.785709742201,0.050851519317933525,0.1535722242161136,0.3311244567661729,0.5700065628773341,0.014634203291145065,0.050231992086839705,3.4196915340538783,130.29775277585813,1.4808096569573985,62.64841781448027,355.82487737197926,0.22015932196094784,1206275.7097789827,0.7164515716478227,0.2510773102593433,0.03247111809281827,38768,14188,0.3659719356170037,0.05691325604079189,0.15341571616871652,0.3709740922383886,0.5648504367934697,0.020695940014003433,0.04417025536398134,3.42550501350399,113.14612974696206,1.7052829913125591,79.80004084337634,355.2210012707078,0.2201060399551341,1111332.6996137663,0.6663443949912558,0.2966162592995014,0.037039345709234194,38486,13772,0.3578444109546329,MARGINAL,False
bottom_decile_DIAGNOSTIC,40,20083,1136.7735849056603,163.75471698113208,159.77637969094923,212,17.666666666666668,1998-04-15,2015-12-31,0.00863320816833646,0.14771651344200037,0.05844443500033065,0.03400606471525558,0.2279697200714522,0.1491692173179715,0.012605972647659648,0.0053221509061609495,72.83821741498699,91.97531175385964,72.4587267369053,3393967.1999999997,0.5768062540457103,0.4231937459542897,158,197,0,4498.274478762349,5442.659579332194,-0.05074363762834899,0.14619899203848052,-0.34708609765922965,0.6841502237475682,-0.08474970234360457,0.05937684579668545,3.7250568974917218,165.36030556409014,0.44048187481581813,-92.52208814910315,305.16945544405246,0.4055494576762567,749319.9082280046,0.7474851913086434,0.21390149714999226,0.03861331154133898,36767,15264,0.4151548943345935,-0.044600353783028734,0.14639453346911274,-0.30465860115219945,0.6657100509783025,-0.07860641849828431,0.053233561951365194,3.741059793523474,148.12842439300462,0.491723433321193,-75.29020697801764,303.86405127061687,0.40548098239393016,702933.490579328,0.7175747091514609,0.23986789695160413,0.04255739389691468,36743,14773,0.4020629779822007,DIAGNOSTIC_NOT_GATE_ELIGIBLE,False
