date,net_10bps,net_2bps,gross,bench_net_10bps
1982-02-28,-0.07093597455689564,-0.06693597455689564,-0.06593597455689564,-0.023849332365626214
1982-03-31,0.060321592781815404,0.06275207860505058,0.06335970006085938,-0.01265381325545667
1982-04-30,0.008094022516489548,0.012449618973879167,0.013538518088226571,0.027463018613662328
1982-05-31,-0.020352324961916423,-0.02034639175641359,-0.02034490845503788,-0.011131491852775547
1982-06-30,0.012045597039014675,0.012061652664307004,0.012065666570630088,-0.030095733713015473
1982-07-31,0.009715110862572039,0.009730396534387053,0.009734217952340807,0.00917603848730079
1982-08-31,0.16628573269565355,0.16837959652264473,0.16890306247939252,0.05802376775490059
1982-09-30,-0.03833722893732618,-0.033743301909080176,-0.03259482015201867,0.0335603274847772
1982-10-31,0.02722918747047842,0.029331881591460583,0.029857555121706125,0.07902070598721614
1982-11-30,0.21656964739933207,0.21968627709578084,0.22046543451989303,0.0420579892737722
1982-12-31,0.052217211308162315,0.05533384100461108,0.05611299842872327,0.016392344665121517
1983-01-31,-0.13579760508856722,-0.13579000215755013,-0.13578810142479586,0.005541782088529474
1983-02-28,-0.04051118909075457,-0.03722085340068155,-0.03639826947816329,0.027772663562462954
1983-03-31,0.08118003874972882,0.0812874684027787,0.08131432581604117,0.011644210434660834
1983-04-30,-0.05198809884674548,-0.05188596591319985,-0.05186043267981344,0.040845963339601624
1983-05-31,-0.08614935333467372,-0.08600755449363601,-0.08597210478337658,-0.011191113479298742
1983-06-30,0.03700876397118952,0.037144192379513205,0.03717804948159412,0.012812579734336322
1983-07-31,0.0822194336801777,0.08228454691519116,0.08230082522394452,-0.03199888289657047
1983-08-31,0.05464678686893995,0.05608288456826489,0.056441908993096125,-0.007209584975289877
1983-09-30,-0.0004011275855682016,0.0008560633809910133,0.001170361122630817,0.025193317799025557
1983-10-31,0.053736023466726714,0.05379159732763093,0.053805490792856986,-0.023644701099869932
1983-11-30,-0.050495100534170174,-0.04775747747178735,-0.04707307170619165,0.012709585752241829
1983-12-31,0.1612215636929366,0.16123633567718665,0.16124002867324916,-0.00038287723544812736
1984-01-31,0.09156893792693742,0.09301482751430036,0.0933762999111411,0.0025334682071048715
1984-02-29,-0.0011162026832169775,0.001346815929395587,0.0019625705825487283,-0.02909709769546189
1984-03-31,0.028857027792207616,0.02891422190146183,0.028928520428775382,0.003938839598296164
1984-04-30,0.016741797643633084,0.017948109503070565,0.018249687467929935,-0.008441300074113625
1984-05-31,-0.02581520268255718,-0.02571274210742213,-0.025687126963638368,-0.06280927026316517
1984-06-30,-0.022180052238107376,-0.020690766013562838,-0.020318444457426702,0.01951241557967398
1984-07-31,0.03004068601304924,0.03006873958875252,0.03007575298267834,0.009181727171852635
1984-08-31,0.005188820405207589,0.005215740696236946,0.005222470768994285,0.052495848517121746
1984-09-30,0.013484510053941301,0.015165179467197287,0.015585346820511284,0.0057041604345051304
1984-10-31,0.01638065686941026,0.016462808648822068,0.016483346593675022,0.029386240589916065
1984-11-30,0.014019083324566068,0.015800355166199435,0.016245673126607775,0.002925190489497316
1984-12-31,-0.0027623739497763975,0.0003007471440818943,0.0010665274175464673,0.011686173234858802
1985-01-31,0.059941917255814166,0.060094867651525254,0.060133105250453026,0.051946404095729475
1985-02-28,-0.03903067979660603,-0.03899939043196449,-0.0389915680908041,-0.01113165371278474
1985-03-31,-0.042560347694069814,-0.04243868976440815,-0.04240827528199274,0.00891491320434745
1985-04-30,-0.03043928549887714,-0.029176366378796607,-0.028860636598776475,0.006284848561246429
1985-05-31,0.043349415799751156,0.04337166296009838,0.043377224750185184,0.05428659460657791
1985-06-30,0.007034753421510357,0.008594186714761523,0.008984045038074314,0.009853981938636697
1985-07-31,-0.033928052123319806,-0.03241439279416889,-0.03203597796188116,-0.014038114061999249
1985-08-31,-0.08415649835246891,-0.08293456950831019,-0.0826290872972705,0.011564488227666852
1985-09-30,-0.06646539144863081,-0.06634676407568241,-0.0663171072324453,-0.016194190779427832
1985-10-31,0.04692428270324403,0.04701026084822907,0.04703175538447533,0.02787923493759622
1985-11-30,0.15349789291593433,0.1536912783159999,0.1537396246660163,0.03556290724398529
1985-12-31,0.043703484108078824,0.04381562690260674,0.043843662601238724,0.03860317961928598
1986-01-31,0.006055311427295788,0.006106748252151969,0.006119607458366014,0.0035615771398565524
1986-02-28,0.10465360547911413,0.10477823843165383,0.10480939666978877,0.06708070938395135
1986-03-31,-0.2528298059776368,-0.2507780015288708,-0.2502650504166793,0.07375235153932952
1986-04-30,-0.012081788179808131,-0.011347041404390955,-0.011163354710536661,0.0009994571002514738
1986-05-31,-0.05615590696552185,-0.05516988303358391,-0.05492337705059942,0.007847393243813432
1986-06-30,-0.04758789798269827,-0.047563563444958275,-0.04755747981052327,0.03741581167035886
1986-07-31,-0.048879056647972534,-0.048830667846730555,-0.04881857064642006,-0.027541678825932208
1986-08-31,-0.061973395389172854,-0.06040439860350646,-0.060012149407089856,0.04145949582324719
1986-09-30,-0.040861463910490045,-0.04083072685533072,-0.04082304259154089,-0.05113053018564656
1986-10-31,0.07588913667157003,0.07597586467010208,0.07599754666973509,0.008537375175195538
